USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
TX|48351|0500000US48351|01383961|Newton County|2418212543|15672142|933.677|6.051|30.786718|-93.73925
TX|48353|0500000US48353|01383962|Nolan County|2362054428|5059476|911.994|1.953|32.312338|-100.418108
TX|48355|0500000US48355|01383963|Nueces County|2173963292|844859309|839.372|326.202|27.739975|-97.516301
TX|48357|0500000US48357|01383964|Ochiltree County|2376792054|1331778|917.685|0.514|36.278744|-100.815864
TX|48359|0500000US48359|01383965|Oldham County|3886337091|2339716|1500.523|0.903|35.401921|-102.59762
TX|48361|0500000US48361|01383966|Orange County|864535303|118326039|333.799|45.686|30.11805|-93.89235
TX|48363|0500000US48363|01383967|Palo Pinto County|2467090673|85364128|952.549|32.959|32.752296|-98.318009
TX|48365|0500000US48365|01383968|Panola County|2101400868|25810622|811.355|9.966|32.163978|-94.305156
TX|48367|0500000US48367|01383969|Parker County|2340676612|16457554|903.74|6.354|32.777096|-97.805905
TX|48369|0500000US48369|01383970|Parmer County|2281317980|11355762|880.822|4.384|34.532163|-102.784853
TX|48371|0500000US48371|01383971|Pecos County|12338274964|2532275|4763.835|0.978|30.773298|-102.718153
TX|48373|0500000US48373|01383972|Polk County|2737754350|136250532|1057.053|52.607|30.784553|-94.837338
TX|48375|0500000US48375|01383973|Potter County|2352746411|35162457|908.401|13.576|35.398675|-101.893804
TX|48377|0500000US48377|01383974|Presidio County|9985057450|1773188|3855.252|0.685|30.005891|-104.261619
TX|48379|0500000US48379|01383975|Rains County|594382315|75978242|229.492|29.335|32.870457|-95.795613
TX|48381|0500000US48381|01383976|Randall County|2363909937|25202436|912.711|9.731|34.962529|-101.895547
TX|48383|0500000US48383|01383977|Reagan County|3044049117|1792716|1175.314|0.692|31.375191|-101.514395
TX|48385|0500000US48385|01383978|Real County|1810814894|2344238|699.16|0.905|29.830097|-99.812549
TX|48387|0500000US48387|01383979|Red River County|2703677240|33255081|1043.896|12.84|33.619625|-95.048429
TX|48389|0500000US48389|01383980|Reeves County|6825534451|17396672|2635.354|6.717|31.308366|-103.712706
TX|48391|0500000US48391|01383981|Refugio County|1995545544|123688759|770.484|47.756|28.322116|-97.162472
TX|48393|0500000US48393|01383982|Roberts County|2393298436|346846|924.058|0.134|35.838596|-100.836682
TX|48395|0500000US48395|01383983|Robertson County|2214840343|27332984|855.155|10.553|31.025481|-96.514941
TX|48397|0500000US48397|01383984|Rockwall County|329523075|56195915|127.23|21.697|32.899433|-96.411616
TX|48399|0500000US48399|01383985|Runnels County|2722259306|15604788|1051.07|6.025|31.845073|-99.981315
TX|48401|0500000US48401|01383986|Rusk County|2393663212|37217196|924.199|14.37|32.109423|-94.756382
TX|48403|0500000US48403|01383987|Sabine County|1273523388|219936059|491.71|84.918|31.3433|-93.851913
TX|48405|0500000US48405|01383988|San Augustine County|1374400349|159644686|530.659|61.639|31.382449|-94.16318
TX|48407|0500000US48407|01383989|San Jacinto County|1474335725|151945760|569.244|58.667|30.574388|-95.163136
TX|48409|0500000US48409|01383990|San Patricio County|1795686678|37539168|693.319|14.494|28.011794|-97.517157
TX|48411|0500000US48411|01383991|San Saba County|2940447153|8300204|1135.313|3.205|31.155138|-98.819292
TX|48413|0500000US48413|01383992|Schleicher County|3394546116|87401|1310.642|0.034|30.896233|-100.527216
TX|48415|0500000US48415|01383993|Scurry County|2345090494|5436957|905.445|2.099|32.744353|-100.913346
TX|48417|0500000US48417|01383994|Shackelford County|2367989251|3268209|914.286|1.262|32.74382|-99.347005
TX|48419|0500000US48419|01383995|Shelby County|2060566451|101081662|795.589|39.028|31.790139|-94.142579
TX|48421|0500000US48421|01383996|Sherman County|2390195598|425429|922.86|0.164|36.278593|-101.899265
TX|48423|0500000US48423|01383997|Smith County|2386671544|73096471|921.499|28.223|32.373782|-95.268935
TX|48425|0500000US48425|01383998|Somervell County|482274685|14205924|186.207|5.485|32.218113|-97.770047
TX|48427|0500000US48427|01383999|Starr County|3168019259|15386854|1223.179|5.941|26.530938|-98.740233
